frequency_hz,real_ohm,imag_ohm,magnitude_ohm
1.762097746016029589e+02,1.543712697821955615e+01,-1.314895060436335505e+01,2.027806182399248769e+01
1.782501876267492094e+02,1.531432959031721985e+01,-1.285474845913554454e+01,1.999433041510800990e+01
1.803142275211914409e+02,1.519830331004220803e+01,-1.256956076382013521e+01,1.972263373130999042e+01
1.824021678711819447e+02,1.508857176512054465e+01,-1.229296576977892208e+01,1.946232271154060456e+01
1.845142854309525831e+02,1.498469916356488163e+01,-1.202456507602688696e+01,1.921279194417478564e+01
1.866508601593981211e+02,1.488628627921209535e+01,-1.176398227836076593e+01,1.897347617681705856e+01
1.888121752571847480e+02,1.479296688510782154e+01,-1.151086167696466234e+01,1.874384714539975150e+01
1.909985172042871966e+02,1.470440457961943714e+01,-1.126486704588593568e+01,1.852341069032968335e+01
1.932101757979626484e+02,1.462028995751037286e+01,-1.102568046590080364e+01,1.831170413090559990e+01
1.954474441911622478e+02,1.454033808451453780e+01,-1.079300122090161906e+01,1.810829387232181276e+01
1.977106189313878417e+02,1.446428623936526137e+01,-1.056654475692341855e+01,1.791277322232258484e+01
2.000000000000000284e+02,1.439189189189189122e+01,-1.034604170220261388e+01,1.772476039701578543e+01
2.023158908519796739e+02,1.432293088980999940e+01,-1.013123694615719295e+01,1.754389669752572445e+01
2.046585984561507416e+02,1.425719583029303195e+01,-9.921888774843035108e+00,1.736984484109403937e+01
2.070284333358688400e+02,1.419449459540440373e+01,-9.717768060235531635e+00,1.720228743195214349e+01
2.094257096101799505e+02,1.413464903305741416e+01,-9.518657500577191399e+00,1.704092555881297599e+01
2.118507450354577486e+02,1.407749376741339198e+01,-9.324350908995514331e+00,1.688547750718493745e+01
2.143038610475214227e+02,1.402287512457575858e+01,-9.134652547613738349e+00,1.673567757591761662e+01
2.167853828042408111e+02,1.397065016113019276e+01,-8.949376504433031343e+00,1.659127498846261162e+01
2.192956392286370431e+02,1.392068578455464412e+01,-8.768346110348614886e+00,1.645203289028949811e+01
2.218349630524802194e+02,1.387285795580816483e+01,-8.591393393765534015e+00,1.631772742475090965e+01
2.244036908603926292e+02,1.382705096552936830e+01,-8.418358570394122609e+00,1.618814688045160111e+01
2.270021631344629043e+02,1.378315677625687563e+01,-8.249089565927210543e+00,1.606309090385673244e+01
2.296307242993765954e+02,1.374107442394348766e+01,-8.083441569426121021e+00,1.594236977148253587e+01
2.322897227680685432e+02,1.370070947278984796e+01,-7.921276615367939478e+00,1.582580371655633833e+01
2.349795109879060817e+02,1.366197351808542848e+01,-7.762463192429780889e+00,1.571322230552010879e+01
2.377004454874038117e+02,1.362478373232730178e+01,-7.606875877206700665e+00,1.560446386018820775e+01
2.404528869234826516e+02,1.358906245040009964e+01,-7.454394991175214535e+00,1.549937492176159104e+01
2.432372001292736172e+02,1.355473679005326026e+01,-7.304906279326170093e+00,1.539780975325264478e+01
2.460537541624762525e+02,1.352173830431127932e+01,-7.158300608995730840e+00,1.529962987719073908e+01
2.489029223542769103e+02,1.349000266280631521e+01,-7.014473687523560486e+00,1.520470364576310551e+01
2.517850823588335345e+02,1.345946935933549504e+01,-6.873325797461374620e+00,1.511290584080173005e+01
2.547006162033323733e+02,1.343008144322295649e+01,-6.734761548143719523e+00,1.502411730125789369e+01
2.576499103386270235e+02,1.340178527231310923e+01,-6.598689642515495279e+00,1.493822457601403819e+01
2.606333556904600641e+02,1.337453028564077684e+01,-6.465022658188883220e+00,1.485511960007114851e+01
2.636513477112815167e+02,1.334826879401883737e+01,-6.333676841774024346e+00,1.477469939231934859e+01
2.667042864326648441e+02,1.332295578695785210e+01,-6.204571915595951559e+00,1.469686577325368937e+01
2.697925765183306908e+02,1.329854875448721607e+01,-6.077630895972581548e+00,1.462152510113613246e+01
2.729166273177847870e+02,1.327500752258587369e+01,-5.952779922287188441e+00,1.454858802523107286e+01
2.760768529205770960e+02,1.325229410105449546e+01,-5.829948096142893554e+00,1.447796925485628883e+01
2.792736722111875451e+02,1.323037254277196162e+01,-5.709067329937234092e+00,1.440958734309525191e+01
2.825075089245511322e+02,1.320920881337831254e+01,-5.590072204241143261e+00,1.434336448411113629e+01
2.857787917022207580e+02,1.318877067051561269e+01,-5.472899833410728831e+00,1.427922632308907858e+01
2.890879541491856344e+02,1.316902755183814300e+01,-5.357489738899458231e+00,1.421710177791117680e+01
2.924354348913436752e+02,1.314995047107551329e+01,-5.243783729776496649e+00,1.415692287174044850e+01
2.958216776336414569e+02,1.313151192149700108e+01,-5.131725789990757569e+00,1.409862457575468930e+01
2.992471312188865795e+02,1.311368578618387915e+01,-5.021261971952572623e+00,1.404214466133069550e+01
3.027122496872414672e+02,1.309644725456920256e+01,-4.912340296034381382e+00,1.398742356103354645e+01
3.062174923364061101e+02,1.307977274475204155e+01,-4.804910655619336168e+00,1.393440423781521353e+01
3.097633237824962862e+02,1.306363983113616278e+01,-4.698924727352181030e+00,1.388303206187211103e+01
3.133502140216300518e+02,1.304802717698202308e+01,-4.594335886270211944e+00,1.383325469465272839e+01
3.169786384922228422e+02,1.303291447149616111e+01,-4.491099125514354640e+00,1.378502197954467867e+01
3.206490781380084059e+02,1.301828237111392639e+01,-4.389170980340163730e+00,1.373828583880521315e+01
3.243620194717860272e+02,1.300411244466048188e+01,-4.288509456167889589e+00,1.369300017633151967e+01
3.281179546399077935e+02,1.299038712210123236e+01,-4.189073960427804444e+00,1.364912078589635058e+01
3.319173814875119888e+02,1.297708964661670095e+01,-4.090825237973390927e+00,1.360660526450173791e+01
3.357608036245121639e+02,1.296420402975864228e+01,-3.993725309849987415e+00,1.356541293052837993e+01
3.396487304923488750e+02,1.295171500946382892e+01,-3.897737415220443147e+00,1.352550474638118416e+01
3.435816774315179032e+02,1.293960801072006106e+01,-3.802825956262182228e+00,1.348684324535256707e+01
3.475601657498752957e+02,1.292786910869526373e+01,-3.708956445862470197e+00,1.344939246244461550e+01
3.515847227917386704e+02,1.291648499415557083e+01,-3.616095457949365155e+00,1.341311786890907953e+01
3.556558820077846121e+02,1.290544294101190914e+01,-3.524210580306755602e+00,1.337798631028078766e+01
3.597741830257575089e+02,1.289473077584715810e+01,-3.433270369731229898e+00,1.334396594769539668e+01
3.639401717219965349e+02,1.288433684928730827e+01,-3.343244309397653602e+00,1.331102620229644806e+01
3.681544002937912978e+02,1.287425000909056649e+01,-3.254102768308766436e+00,1.327913770254993686e+01
3.724174273325735385e+02,1.286445957483787694e+01,-3.165816962711866189e+00,1.324827223429652001e+01
3.767298178979604586e+02,1.285495531411717174e+01,-3.078358919372822022e+00,1.321840269338287222e+01
3.810921435926497338e+02,1.284572742010163893e+01,-2.991701440604777495e+00,1.318950304072400570e+01
3.855049826381873572e+02,1.283676649042976692e+01,-2.905818070954734544e+00,1.316154825965804243e+01
3.899689199516091662e+02,1.282806350730165157e+01,-2.820683065457588512e+00,1.313451431546380199e+01
3.944845472229707184e+02,1.281960981871233152e+01,-2.736271359372366430e+00,1.310837811691999910e+01
3.990524629937758050e+02,1.281139712074864967e+01,-2.652558539320666320e+00,1.308311747979241169e+01
4.036732727363120148e+02,1.280341744088139677e+01,-2.569520815752111886e+00,1.305871109214264436e+01
4.083475889339059677e+02,1.279566312218942592e+01,-2.487134996666074294e+00,1.303513848135874476e+01
4.130760311621058918e+02,1.278812680845681093e+01,-2.405378462523142247e+00,1.301237998281413510e+01
4.178592261708081992e+02,1.278080143008837410e+01,-2.324229142283626981e+00,1.299041671006706267e+01
4.226978079673295952e+02,1.277368019079261963e+01,-2.243665490514259453e+00,1.296923052651823127e+01
4.275924179004465486e+02,1.276675655498471507e+01,-2.163666465507400272e+00,1.294880401844921280e+01
4.325437047454040567e+02,1.276002423586536771e+01,-2.084211508360506837e+00,1.292912046936890036e+01
4.375523247899104149e+02,1.275347718413448028e+01,-2.005280522966493173e+00,1.291016383559974656e+01
